MES,DIA_SEMANA,RANGO_HORARIO,PARROQUIA,ZONA,FERIADO,NUM_ACCIDENTES,CAUSA_MAS_FRECUENTE,SINIESTRO_MAS_FRECUENTE,VEHICULO_MAS_FRECUENTE,PROMEDIO_LESIONADOS,PROMEDIO_FALLECIDOS,PROMEDIO_VICTIMAS,LATITUD_PROMEDIO,LONGITUD_PROMEDIO
1,0,MADRUGADA,CUENCA,URBANA,SI,2,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE POSTERIOR,MOTOCICLETA,0.5,0.0,0.5,-2.904572,-78.97970749999999
1,0,MANANA,CUENCA,URBANA,NO,2,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,AUTOMÓVIL,1.0,0.0,1.0,-2.90709,-78.99971049999999
1,0,MANANA,CUENCA,URBANA,SI,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,AUTOMÓVIL,0.0,0.0,0.0,-2.919688,-79.004881
1,0,MANANA,VALLE,RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE PISTA,AUTOMÓVIL,1.0,0.0,1.0,-2.930489,-78.967382
1,0,NOCHE,CUENCA,URBANA,NO,3,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,AUTOMÓVIL,1.33,0.0,1.33,-2.891137,-78.98622966666666
1,0,NOCHE,MOLLETURO,RURAL,NO,1,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,COLISIÓN,AUTOMÓVIL,0.0,0.0,0.0,-2.675528,-79.463917
1,0,NOCHE,SAYAUSI,RURAL,SI,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,CAMIONETA,3.0,0.0,3.0,-2.802869,-79.158422
1,0,TARDE,CUENCA,URBANA,NO,1,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,0.0,0.0,0.0,-2.907709,-79.002171
1,0,TARDE,CUENCA,URBANA,SI,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,AUTOMÓVIL,2.0,0.0,2.0,-2.894368,-79.010158
1,0,TARDE,MOLLETURO,RURAL,SI,1,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,0.0,0.0,0.0,-2.766635,-79.404454
1,0,TARDE,TARQUI (CUENCA),RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,MOTOCICLETA,1.0,0.0,1.0,-3.0125,-79.039167
1,1,MANANA,BAÑOS (CUENCA),RURAL,NO,1,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,CAMIONETA,0.0,0.0,0.0,-2.920229,-79.066367
1,1,MANANA,CUENCA,URBANA,NO,3,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO AL PEATÓN.,ATROPELLOS,MOTOCICLETA,0.67,0.0,0.67,-2.8804916666666665,-78.994997
1,1,NOCHE,CUENCA,URBANA,NO,2,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO A VEHÍCULOS.,CHOQUE LATERAL,NO IDENTIFICADO,0.5,0.0,0.5,-2.9128675,-79.01450449999999
1,1,NOCHE,CUMBE,RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,CAMIONETA,0.0,0.0,0.0,-3.110169,-79.011062
1,1,NOCHE,VALLE,RURAL,NO,1,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,CHOQUE LATERAL,BUS,1.0,0.0,1.0,-2.915884,-78.984571
1,1,TARDE,CUENCA,URBANA,NO,3,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",ATROPELLOS,AUTOMÓVIL,1.0,0.0,1.0,-2.896288666666667,-78.995977
1,1,TARDE,TARQUI (CUENCA),RURAL,NO,2,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CHOQUE POSTERIOR,CAMIONETA,0.0,0.5,0.5,-2.993764,-79.0445
1,2,MADRUGADA,SAYAUSI,RURAL,SI,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,NO IDENTIFICADO,1.0,0.0,1.0,-2.866389,-79.088333
1,2,MANANA,CUENCA,URBANA,NO,3,BAJARSE O SUBIRSE DE VEHÍCULOS EN MOVIMIENTO SIN TOMAR LAS PRECAUCIONES DEBIDAS.,CAÍDA DE PASAJERO,CAMIONETA,0.33,0.0,0.33,-2.8977013333333335,-78.98811733333334
1,2,MANANA,MOLLETURO,RURAL,SI,1,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,0.0,0.0,0.0,-2.712694,-79.420139
1,2,MANANA,TARQUI (CUENCA),RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,ESPECIAL,3.0,0.0,3.0,-2.974194,-79.047028
1,2,MANANA,VALLE,RURAL,SI,1,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE LATERAL,CAMIONETA,0.0,0.0,0.0,-2.924676,-78.976481
1,2,NOCHE,BAÑOS (CUENCA),RURAL,NO,1,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,AUTOMÓVIL,3.0,0.0,3.0,-2.941882,-79.045685
1,2,NOCHE,CUENCA,URBANA,NO,5,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",ATROPELLOS,AUTOMÓVIL,0.8,0.0,0.8,-2.9034818,-78.9946816
1,2,NOCHE,CUENCA,URBANA,SI,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,VEHÍCULO DEPORTIVO UTILITARIO,0.0,0.0,0.0,-2.880171,-78.982928
1,2,TARDE,CUENCA,URBANA,NO,4,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,AUTOMÓVIL,0.5,0.0,0.5,-2.9040785,-79.018138
1,2,TARDE,SININCAY,URBANA,NO,1,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,ROZAMIENTOS,MOTOCICLETA,2.0,0.0,2.0,-2.877894,-79.012556
1,3,MADRUGADA,CUENCA,URBANA,NO,2,"CONDUCIR EN ESTADO DE SOMNOLENCIA O MALAS CONDICIONES FÍSICAS (SUEÑO, CANSANCIO Y FATIGA).",CHOQUE LATERAL,AUTOMÓVIL,1.5,0.0,1.5,-2.880031,-78.96055100000001
1,3,MANANA,CUENCA,URBANA,NO,2,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CHOQUE LATERAL,MOTOCICLETA,1.5,0.0,1.5,-2.8965165,-79.0058375
1,3,MANANA,SAN JOAQUIN,RURAL,NO,1,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,ROZAMIENTOS,AUTOMÓVIL,0.0,0.0,0.0,-2.895778,-79.056861
1,3,NOCHE,CUENCA,URBANA,NO,3,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE FRONTAL,AUTOMÓVIL,0.33,0.0,0.33,-2.87539,-78.96804766666666
1,3,NOCHE,SAYAUSI,RURAL,NO,1,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,MOTOCICLETA,1.0,0.0,1.0,-2.867861,-79.086139
1,3,TARDE,CUENCA,URBANA,NO,2,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,0.5,0.0,0.5,-2.9091069999999997,-79.00744649999999
1,4,MADRUGADA,CUENCA,URBANA,NO,2,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,AUTOMÓVIL,0.5,0.5,1.0,-2.884791,-78.985715
1,4,MADRUGADA,MOLLETURO,RURAL,NO,1,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,CAMIÓN,2.0,0.0,2.0,-2.808611,-79.318333
1,4,MANANA,CUENCA,URBANA,NO,2,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,AUTOMÓVIL,0.0,0.5,0.5,-2.8963955,-78.9918885
1,4,NOCHE,BAÑOS (CUENCA),RURAL,NO,1,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,0.0,0.0,0.0,-2.940667,-79.046417
1,4,NOCHE,TARQUI (CUENCA),RURAL,NO,1,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,ROZAMIENTOS,CAMIONETA,0.0,0.0,0.0,-2.971139,-79.047611
1,4,TARDE,CUENCA,URBANA,NO,7,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,AUTOMÓVIL,0.43,0.0,0.43,-2.886935714285714,-78.98697514285713
1,4,TARDE,MOLLETURO,RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,CAMIÓN,0.0,0.0,0.0,-2.781783,-79.377384
1,5,MADRUGADA,CUENCA,URBANA,NO,2,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE LATERAL,AUTOMÓVIL,1.0,0.0,1.0,-2.8974055,-79.0045355
1,5,MANANA,BAÑOS (CUENCA),RURAL,NO,1,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,0.0,0.0,0.0,-2.95225,-79.048444
1,5,MANANA,CUENCA,URBANA,NO,2,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CHOQUE FRONTAL,AUTOMÓVIL,0.5,0.0,0.5,-2.8707945,-78.963528
1,5,MANANA,TARQUI (CUENCA),RURAL,NO,1,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,CAMIONETA,3.0,0.0,3.0,-3.019972,-79.040667
1,5,NOCHE,CUENCA,URBANA,NO,2,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,AUTOMÓVIL,0.0,0.0,0.0,-2.905105,-79.01237499999999
1,5,NOCHE,TARQUI (CUENCA),RURAL,NO,1,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,AUTOMÓVIL,1.0,0.0,1.0,-3.035944,-79.041639
1,5,TARDE,CUENCA,URBANA,NO,3,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,CAMIONETA,0.67,0.0,0.67,-2.888328,-79.02942766666666
1,5,TARDE,SAYAUSI,RURAL,NO,1,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,CAMIÓN,2.0,0.0,2.0,-2.867806,-79.086194
1,5,TARDE,TARQUI (CUENCA),RURAL,NO,1,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,VEHÍCULO DEPORTIVO UTILITARIO,1.0,0.0,1.0,-2.961667,-79.05
1,6,MADRUGADA,CUENCA,URBANA,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE PISTA,AUTOMÓVIL,0.0,0.0,0.0,-2.870181,-79.003968
1,6,MADRUGADA,TARQUI (CUENCA),RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,MOTOCICLETA,1.0,0.0,1.0,-3.022611,-79.039028
1,6,MANANA,CUENCA,RURAL,NO,1,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO A VEHÍCULOS.,CHOQUE LATERAL,NO IDENTIFICADO,2.0,0.0,2.0,-2.879897,-79.067129
1,6,MANANA,CUENCA,URBANA,NO,1,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE LATERAL,CAMIONETA,1.0,0.0,1.0,-2.861764,-79.037852
1,6,NOCHE,CUENCA,URBANA,NO,2,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,AUTOMÓVIL,0.5,0.0,0.5,-2.8864515,-78.996534
1,6,NOCHE,NULTI,RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",OTROS,AUTOMÓVIL,1.0,0.0,1.0,-2.881099,-78.920062
1,6,NOCHE,RICAURTE (CUENCA),RURAL,NO,1,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",ESTRELLAMIENTOS,AUTOMÓVIL,1.0,0.0,1.0,-2.864029,-78.959294
1,6,NOCHE,TARQUI (CUENCA),RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,MOTOCICLETA,1.0,0.0,1.0,-3.010761,-79.031863
2,0,MADRUGADA,CUENCA,URBANA,NO,2,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",PÉRDIDA DE CARRIL,AUTOMÓVIL,0.5,0.0,0.5,-2.8870715,-78.986858
2,0,MANANA,CUENCA,URBANA,NO,2,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",ATROPELLOS,AUTOMÓVIL,2.0,0.0,2.0,-2.866506,-78.9398015
2,0,MANANA,SAN JOAQUIN,RURAL,NO,1,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO A VEHÍCULOS.,CHOQUE LATERAL,MOTOCICLETA,1.0,0.0,1.0,-2.889139,-79.062054
2,0,MANANA,TARQUI (CUENCA),RURAL,NO,1,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,COLISIÓN,AUTOMÓVIL,0.0,0.0,0.0,-2.987388,-79.046972
2,0,NOCHE,CUENCA,RURAL,NO,1,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",ROZAMIENTOS,CAMIONETA,0.0,0.0,0.0,-2.878253,-79.059741
2,0,NOCHE,CUMBE,RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,AUTOMÓVIL,0.0,0.0,0.0,-3.166277,-79.032916
2,0,TARDE,CUENCA,URBANA,NO,2,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,CHOQUE LATERAL,AUTOMÓVIL,0.0,0.0,0.0,-2.897307,-78.99116000000001
2,0,TARDE,LLACAO,URBANA,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,NO IDENTIFICADO,0.0,0.0,0.0,-2.841753,-78.888341
2,0,TARDE,TURI,URBANA,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CHOQUE POSTERIOR,NO IDENTIFICADO,3.0,0.0,3.0,-2.919783,-79.005094
2,1,MADRUGADA,SIDCAY,RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE PISTA,AUTOMÓVIL,0.0,0.0,0.0,-2.827059,-78.980788
2,1,MADRUGADA,VALLE,RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,AUTOMÓVIL,0.0,0.0,0.0,-2.918858,-78.981045
2,1,MANANA,RICAURTE (CUENCA),RURAL,NO,1,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO AL PEATÓN.,ATROPELLOS,AUTOMÓVIL,1.0,0.0,1.0,-2.860374,-78.962736
2,1,NOCHE,BAÑOS (CUENCA),RURAL,NO,1,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE FRONTAL,AUTOMÓVIL,1.0,0.0,1.0,-2.921718,-79.079933
2,1,NOCHE,CUENCA,URBANA,NO,3,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CHOQUE LATERAL,BUS,0.67,0.0,0.67,-2.898637666666667,-79.00424633333334
2,1,TARDE,BAÑOS (CUENCA),RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",OTROS,NO IDENTIFICADO,1.0,0.0,1.0,-2.941439,-79.048179
2,1,TARDE,CUENCA,RURAL,NO,1,NO TRANSITAR POR LAS ACERAS O ZONAS DE SEGURIDAD DESTINADAS PARA EL EFECTO.,ATROPELLOS,NO IDENTIFICADO,1.0,0.0,1.0,-2.86269,-78.936864
2,1,TARDE,CUENCA,URBANA,NO,4,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO AL PEATÓN.,ATROPELLOS,MOTOCICLETA,1.0,0.25,1.25,-2.9003585,-79.013276
2,1,TARDE,CUMBE,RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,CAMIÓN,4.0,0.0,4.0,-3.106972,-79.010444
2,2,MANANA,CUENCA,URBANA,NO,7,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CHOQUE LATERAL,AUTOMÓVIL,0.86,0.0,0.86,-2.895005142857143,-79.006886
2,2,MANANA,SAYAUSI,RURAL,NO,1,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,ROZAMIENTOS,CAMIONETA,0.0,0.0,0.0,-2.786305,-79.195777
2,2,NOCHE,CUENCA,URBANA,NO,2,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",ATROPELLOS,NO IDENTIFICADO,0.5,0.0,0.5,-2.894117,-78.9820165
2,2,NOCHE,NULTI,RURAL,NO,1,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",PÉRDIDA DE CARRIL,AUTOMÓVIL,1.0,0.0,1.0,-2.866752,-78.878143
2,2,NOCHE,TURI,RURAL,NO,1,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO AL PEATÓN.,ATROPELLOS,NO IDENTIFICADO,1.0,0.0,1.0,-2.928684,-79.032404
2,2,TARDE,CUENCA,URBANA,NO,3,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE LATERAL,AUTOMÓVIL,1.0,0.0,1.0,-2.8975109999999997,-79.01044766666666
2,2,TARDE,SAYAUSI,RURAL,NO,1,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,CAMIÓN,1.0,0.0,1.0,-2.789056,-79.200028
2,3,MADRUGADA,BAÑOS (CUENCA),RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,CAMIÓN,0.0,0.0,0.0,-2.950666,-79.047555
2,3,MADRUGADA,SAYAUSI,RURAL,NO,1,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,VEHÍCULO DEPORTIVO UTILITARIO,0.0,0.0,0.0,-2.777361,-79.241666
2,3,MANANA,CUENCA,URBANA,NO,1,NO RESPETAR LAS SEÑALES MANUALES DEL AGENTE DE TRÁNSITO.,CHOQUE LATERAL,SCOOTER ELÉCTRICO,2.0,0.0,2.0,-2.901226,-79.030827
2,3,MANANA,SANTA ANA,RURAL,NO,1,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,CHOQUE LATERAL,AUTOMÓVIL,1.0,0.0,1.0,-2.969056,-78.911791
2,3,NOCHE,CUENCA,URBANA,NO,4,NO RESPETAR LAS SEÑALES MANUALES DEL AGENTE DE TRÁNSITO.,CHOQUE LATERAL,AUTOMÓVIL,0.5,0.0,0.5,-2.887727,-78.98748524999999
2,3,TARDE,BAÑOS (CUENCA),URBANA,NO,1,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE POSTERIOR,AUTOMÓVIL,1.0,0.0,1.0,-2.937737,-79.046406
2,3,TARDE,CUENCA,URBANA,NO,5,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO AL PEATÓN.,ATROPELLOS,AUTOMÓVIL,0.8,0.0,0.8,-2.9002116,-79.0027726
